iter	Passed	Remaining
0	297	59251
1	346	34303
2	454	29868
3	584	28621
4	729	28446
5	840	27160
6	975	26907
7	1113	26721
8	1256	26669
9	1440	27361
10	1557	26760
11	1688	26451
12	1801	25911
13	1887	25073
14	1972	24330
15	2075	23871
16	2198	23669
17	2320	23464
18	2428	23135
19	2516	22645
20	2601	22173
21	2725	22051
22	2806	21596
23	2901	21274
24	2975	20829
25	3062	20495
26	3177	20358
27	3314	20360
28	3414	20136
29	3500	19834
30	3598	19618
31	3742	19647
32	3887	19671
33	4031	19681
34	4165	19637
35	4282	19508
36	4382	19305
37	4512	19238
38	4637	19144
39	4758	19032
40	4884	18943
41	4977	18723
42	5084	18565
43	5194	18417
44	5302	18265
45	5420	18147
46	5525	17985
47	5629	17827
48	5751	17723
49	5894	17684
50	6020	17588
51	6120	17419
52	6244	17319
53	6376	17240
54	6486	17101
55	6603	16980
56	6704	16819
57	6815	16685
58	6933	16569
59	7040	16428
60	7149	16291
61	7266	16174
62	7396	16084
63	7493	15923
64	7594	15774
65	7704	15643
66	7808	15499
67	7937	15408
68	8037	15260
69	8159	15152
70	8273	15032
71	8293	14743
72	8404	14620
73	8510	14490
74	8616	14360
75	8721	14230
76	8828	14103
77	8954	14005
78	9070	13892
79	9216	13824
80	9327	13702
81	9491	13657
82	9614	13552
83	9747	13461
84	9865	13347
85	10004	13261886	10146	13178
87	10257	13055888	10369	12932
89	10553	12899
90	10678	12790
91	10791	12668
92	10907	12548
93	11038	12447
94	11137	12310
95	11250	12188
96	11403	12108
97	11579	12051
98	11705	11942
99	11853	11853
100	11965	11728
101	12084	11610
102	12187	11477
103	12303	11357
104	12426	11242
105	12527	11109
106	12636	10983
107	12749	10860
108	12868	10743
109	12972	10613
110	13092	10497
111	13235	10399
112	13358	10284
113	13480	10169
114	13618	10066
115	13758	9963
116	13873	9842
117	14015	9739
118	14141	9625
119	14259	9506
120	14379	9388
121	14508	9275
122	14679	9189
123	14810	9077
124	14961	8976
125	15081	8857
126	15213	8744
127	15322	8618
128	15418	8486
129	15522	8358
130	15633	8234
131	15764	8121
132	15925	8022
133	16058	7909
134	16182	7791
135	16334	7686
136	16453	7565
137	16572	7445
138	16692	7325
139	16785	7193
140	16886	70141141	17010	69142142	17104	68143	17192	6686
144	17321	6570
145	17463	6459
146	17568	6334
147	17688	6214
148	17818	6099
149	17958	5986
150	18080	5867
151	18180	5741
152	18273	5613
153	18390	5493
154	18458	5358
155	18526	5225
156	18587	5090
157	18652	4958
158	18726	4828
159	18778	46941160	18832	45611161	18898	44321162	18972	43061163	19089	41901164	19209	4074
165	19273	3947
166	19324	38181167	19379	36911168	19427	35631169	19478	3437
170	19530	3312
171	19595	3189
172	19655	3067
173	19728	2947
174	19806	2829
175	19871	2709
176	19945	2591
177	19992	2470
178	20036	2350
179	20087	2231
180	20132	2113
181	20180	1995
182	20239	1880
183	20290	1764
184	20345	1649
185	20443	1538
186	20518	1426
187	20535	1310
188	20594	1198
189	20665	1087
190	20723	976
191	20780	865
192	20826	755
193	20874	645
194	20911	536
195	20948	427
196	20972	319
197	20997	212
198	21020	105
199	21041	0
	0
