iter	Passed	Remaining
0	13	2608
1	28	2810
2	43	2859
3	59	2892
4	73	2862
5	87	2814
6	101	2804
7	116	2789
8	131	2800
9	145	2765
10	159	2745
11	173	2717
12	187	2695
13	201	2674
14	215	2656
15	229	2637
16	243	2625
17	260	2631
18	274	2612
19	288	2592
20	303	2584
21	317	2567
22	332	2556
23	345	2536
24	360	2521
25	375	2512
26	388	2491
27	405	2490
28	421	2482
29	436	2475
30	452	2465
31	467	2455
32	481	2437
33	496	2423
34	510	2407
35	524	2391
36	539	2378
37	554	2362
38	568	2347
39	582	2331
40	596	2314
41	610	2297
42	624	2281
43	639	2265
44	654	2253
45	669	2240
46	684	2227
47	698	2213
48	713	2197
49	727	2181
50	741	2165
51	757	2154
52	772	2143
53	787	2129
54	803	2118
55	819	2106
56	834	2094
57	849	2079
58	863	2064
59	879	2051
60	894	2037
61	908	2022
62	923	2009
63	937	1991
64	952	1977
65	966	1962
66	981	1948
67	997	1936
68	1011	1921
69	1033	1918
70	1052	1912
71	1058	1882
72	1076	1872
73	1093	1862
74	1111	1852
75	1124	1834
76	1139	1819
77	1154	1805
78	1170	1792
79	1184	1776
80	1199	1762
81	1215	1748
82	1230	1734
83	1243	1717
84	1256	1700
85	1270	1684
86	1287	1672
87	1302	1657
88	1315	1641
89	1329	1624
90	1342	1607
91	1356	1592
92	1369	1576
93	1383	1560
94	1397	1544
95	1411	1529
96	1425	1513
97	1439	1498
98	1451	1481
99	1465	1465
100	1478	1448
101	1490	1431
102	1504	1416
103	1519	1403
104	1527	1382
105	1541	1367
106	1554	1351
107	1568	1336
108	1582	1321
109	1597	1307
110	1611	1292
111	1625	1276
112	1637	1261
113	1651	1246
114	1664	1230
115	1678	1215
116	1691	1200
117	1705	1184
118	1718	1169
119	1733	1155
120	1747	1140
121	1764	1127
122	1778	1113
123	1792	1098
124	1807	1084
125	1821	1070
126	1836	1055
127	1851	1041
128	1865	1026
129	1881	1012
130	1894	998
131	1908	983
132	1923	968
133	1937	954
134	1951	939
135	1958	921
136	1970	906
137	1986	892
138	2000	877
139	2013	862
140	2026	848
141	2041	834
142	2056	819
143	2071	805
144	2087	791
145	2101	777
146	2115	762
147	2129	748
148	2143	733
149	2157	719
150	2172	704
151	2186	690
152	2199	675
153	2214	661
154	2228	647
155	2243	632
156	2256	618
157	2270	603
158	2283	588
159	2297	574
160	2310	559
161	2324	545
162	2339	531
163	2353	516
164	2366	502
165	2380	487
166	2393	473
167	2408	458
168	2423	444
169	2435	429
170	2448	415
171	2461	400
172	2474	386
173	2486	371
174	2499	357
175	2513	342
176	2525	328
177	2539	313
178	2551	299
179	2564	284
180	2579	270
181	2592	256
182	2605	242
183	2619	227
184	2633	213
185	2647	199
186	2662	185
187	2676	170
188	2692	156
189	2708	142
190	2723	128
191	2739	114
192	2754	99
193	2768	85
194	2783	71
195	2799	57
196	2812	42
197	2825	28
198	2838	14
199	2853	0
