iter	Passed	Remaining
0	14	2973
1	31	3106
2	47	3141
3	62	3064
4	79	3104
5	95	3073
6	110	3053
7	127	3058
8	143	3048
9	159	3024
10	176	3027
11	192	3012
12	207	2980
13	221	2946
14	237	2923
15	252	2906
16	268	2889
17	284	2876
18	299	2851
19	302	2721
20	318	2718
21	334	2706
22	351	2703
23	365	2683
24	381	2671
25	396	2655
26	412	2645
27	427	2624
28	442	2610
29	457	2595
30	474	2585
31	490	2575
32	505	2556
33	520	2543
34	535	2526
35	552	2515
36	567	2502
37	584	2492
38	600	2480
39	617	2470
40	632	2454
41	649	2443
42	664	2427
43	682	2418
44	696	2400
45	713	2387
46	728	2370
47	744	2357
48	758	2337
49	774	2323
50	788	2304
51	791	2253
52	806	2237
53	821	2221
54	837	2207
55	851	2189
56	866	2172
57	880	2156
58	895	2140
59	910	2125
60	925	2109
61	941	2094
62	955	2078
63	971	2063
64	986	2048
65	1001	2032
66	1016	2017
67	1030	2000
68	1045	1985
69	1060	1970
70	1076	1955
71	1091	1939
72	1107	1925
73	1121	1910
74	1138	1897
75	1154	1882
76	1170	1869
77	1185	1853
78	1200	1838
79	1216	1824
80	1232	1810
81	1248	1796
82	1264	1782
83	1280	1768
84	1296	1753
85	1312	1739
86	1319	1714
87	1336	1700
88	1351	1685
89	1367	1670
90	1381	1654
91	1396	1639
92	1411	1624
93	1419	1600
94	1435	1586
95	1450	1571
96	1466	1557
97	1481	1541
98	1497	1527
99	1511	1511
100	1526	1496
101	1541	1481
102	1556	1465
103	1571	1450
104	1587	1436
105	1603	1421
106	1618	1406
107	1634	1392
108	1648	1376
109	1663	1360
110	1678	1345
111	1693	1330
112	1708	1315
113	1723	1299
114	1726	1276
115	1741	1261
116	1758	1247
117	1774	1233
118	1782	1213
119	1799	1199
120	1814	1184
121	1830	1170
122	1845	1155
123	1860	1140
124	1875	1125
125	1890	1110
126	1905	1095
127	1919	1079
128	1934	1064
129	1948	1049
130	1964	1034
131	1978	1018
132	1995	1005
133	2012	991
134	2028	976
135	2043	961
136	2058	946
137	2074	932
138	2092	918
139	2109	904
140	2129	890
141	2145	876
142	2163	862
143	2181	848
144	2198	833
145	2216	819
146	2236	806
147	2259	793
148	2281	781
149	2301	767
150	2318	752
151	2336	737
152	2352	722
153	2369	707
154	2385	692
155	2403	677
156	2421	663
157	2438	648
158	2455	633
159	2473	618
160	2492	603
161	2510	588
162	2528	573
163	2544	558
164	2560	543
165	2576	527
166	2593	512
167	2609	496
168	2625	481
169	2640	465
170	2654	450
171	2661	433
172	2676	417
173	2692	402
174	2708	386
175	2715	370
176	2731	354
177	2747	339
178	2763	324
179	2778	308
180	2795	293
181	2810	278
182	2818	261
183	2835	246
184	2850	231
185	2866	215
186	2882	200
187	2898	185
188	2914	169
189	2930	154
190	2947	138
191	2963	123
192	2979	108
193	2994	92
194	3010	77
195	3026	61
196	3041	46
197	3058	30
198	3074	15
199	3091	0
